locality,Price,Number_bedrooms,Living_area
179441.8918918919,145500,1.0,40.0
228000.0,228000,4.0,290.0
179441.8918918919,150000,1.0,48.0
240558.82352941178,130000,1.0,50.0
240558.82352941178,299000,3.0,122.0
252069.38775510204,355000,2.0,120.0
179441.8918918919,214900,2.0,83.0
252069.38775510204,270000,3.0,110.0
271724.3243243243,245000,2.0,77.0
271724.3243243243,250000,2.0,77.0
271724.3243243243,255000,2.0,77.0
271724.3243243243,275000,2.0,97.0
271724.3243243243,300000,3.0,101.0
271724.3243243243,310000,3.0,101.0
271724.3243243243,325000,2.0,94.0
240558.82352941178,320000,2.0,111.0
240558.82352941178,185000,2.0,69.0
207000.0,205800,2.0,84.0
207000.0,206800,2.0,84.0
207000.0,222300,2.0,83.0
207000.0,226800,2.0,86.0
240558.82352941178,298000,4.0,139.0
846225.0,495000,3.0,168.0
271724.3243243243,118000,1.0,34.0
252069.38775510204,225000,2.0,84.0
252069.38775510204,228000,2.0,88.0
252069.38775510204,230000,2.0,75.0
240558.82352941178,149000,1.0,52.0
538950.0,187900,2.0,76.0
252069.38775510204,215000,1.0,64.0
221000.0,245000,2.0,150.0
213000.0,254000,2.0,100.0
846225.0,314900,2.0,95.0
252069.38775510204,220000,2.0,86.0
271724.3243243243,249000,2.0,90.0
252069.38775510204,143000,1.0,44.0
186000.0,269000,3.0,114.0
271724.3243243243,198000,2.0,93.0
179441.8918918919,207000,2.0,79.0
252069.38775510204,245000,2.0,84.0
271724.3243243243,319000,2.0,95.0
252069.38775510204,320000,2.0,91.0
207000.0,195800,1.0,87.0
252069.38775510204,180000,2.0,56.0
179441.8918918919,176900,1.0,58.0
149000.0,149000,2.0,78.0
252069.38775510204,235000,2.0,91.0
240558.82352941178,239000,2.0,78.0
184500.0,249000,2.0,79.0
252069.38775510204,250000,1.0,71.0
275000.0,275000,2.0,133.0
275000.0,275000,2.0,148.0
252069.38775510204,280000,3.0,125.0
252069.38775510204,320000,2.0,89.0
179441.8918918919,238900,2.0,77.0
244900.0,244900,2.0,82.0
271724.3243243243,280000,2.0,97.0
207000.0,149000,2.0,90.0
196111.11111111112,215000,2.0,97.0
